City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,8.74,74,71,3.52,AU,1692741265
1,jabat,7.75,168.9751,29.01,71,83,4.22,MH,1692741266
2,waitangi,-43.9535,-176.5597,10.46,78,89,3.58,NZ,1692741266
3,pacific grove,36.6177,-121.9166,27.16,75,0,5.14,US,1692741268
4,ust-nera,64.5667,143.2,6.18,98,100,2.04,RU,1692741269
5,hermanus,-34.4187,19.2345,11.56,77,100,10.26,ZA,1692741269
6,lompoc,34.6391,-120.4579,30.08,70,0,5.66,US,1692741270
7,ola,59.5833,151.2833,14.66,67,51,3.62,RU,1692741271
8,crane,31.3974,-102.3501,34.43,26,100,4.39,US,1692741271
9,grytviken,-54.2811,-36.5092,-1.06,97,99,5.76,GS,1692741272
10,rockingham,42.9668,-71.0995,26.38,51,34,0.89,US,1692741272
11,haiku-pauwela,20.9219,-156.3051,31.01,45,20,9.26,US,1692741274
12,papatowai,-46.5619,169.4708,10.16,68,94,2.02,NZ,1692741274
13,sisimiut,66.9395,-53.6735,11.86,80,90,2.72,GL,1692741122
14,belmonte,-15.8631,-38.8828,24.42,88,14,5.2,BR,1692741275
15,yemva,62.59,50.8594,6.53,96,100,2.56,RU,1692741276
16,newman,37.3138,-121.0208,33.34,10,1,1.5,US,1692741276
17,new norfolk,-42.7826,147.0587,9.4,74,60,2.95,AU,1692741277
18,edinburgh of the seven seas,-37.0676,-12.3116,12.96,93,100,12.1,SH,1692741277
19,vorgashor,67.5833,63.95,7.98,84,100,2.73,RU,1692741278
20,port-aux-francais,-49.35,70.2167,1.29,72,90,6.38,TF,1692741279
21,ushuaia,-54.8,-68.3,2.81,93,75,9.26,AR,1692741083
22,ta`u,-14.2336,-169.5144,26.1,69,16,7.2,AS,1692741281
23,fenoarivo atsinanana,-17.3667,49.4167,19.98,87,26,1.84,MG,1692741282
24,labytnangi,66.6572,66.4183,9.94,83,100,3.76,RU,1692741282
25,tiksi,71.6872,128.8694,3.52,89,100,2.39,RU,1692741284
26,la passe,45.5549,-0.8967,28.13,63,15,2.82,FR,1692741285
27,albany,42.6001,-73.9662,25.81,53,13,2.16,US,1692741032
28,west island,-12.1568,96.8225,24.99,83,75,5.66,CC,1692741286
29,tsiombe,-25.3,45.4833,22.12,66,0,3.32,MG,1692741287
30,ngerengere,-6.75,38.1167,20.74,83,0,0.52,TZ,1692741287
31,puerto natales,-51.7236,-72.4875,2.19,85,100,3.67,CL,1692741288
32,jamestown,42.097,-79.2353,23.9,49,0,3.09,US,1692741087
33,iqaluit,63.7506,-68.5145,10.85,71,75,10.8,CA,1692741290
34,yulinshi,38.2906,109.7494,19.67,54,100,1.61,CN,1692741290
35,hithadhoo,-0.6,73.0833,27.78,75,97,5.91,MV,1692741291
36,bethel,41.3712,-73.414,26.08,56,0,5.14,US,1692741291
37,adamstown,-25.066,-130.1015,19.26,63,100,13.0,PN,1692741293
38,olonkinbyen,70.9221,-8.7187,5.57,94,83,1.53,SJ,1692741293
39,invercargill,-46.4,168.35,8.9,84,99,0.45,NZ,1692741042
40,codrington,-38.2667,141.9667,9.61,87,100,4.26,AU,1692741294
41,tidjikja,18.5564,-11.4271,35.49,28,25,1.87,MR,1692741295
42,n'zeto,-7.2312,12.8666,21.7,94,22,2.46,AO,1692741295
43,baglung,28.2719,83.5898,21.62,99,100,0.67,NP,1692741296
44,sirnach,47.4622,8.9976,25.12,87,65,1.44,CH,1692741298
45,kalevala,65.2,31.1667,10.71,80,100,1.83,RU,1692741299
46,tsetserleg,47.475,101.4542,5.72,90,67,0.78,MN,1692741299
47,carutapera,-1.195,-46.02,25.68,73,40,3.88,BR,1692741300
48,lesosibirsk,58.2358,92.4828,14.26,93,100,1.61,RU,1692741302
49,parabel',58.6978,81.4825,11.75,96,99,2.16,RU,1692741304
50,pitea,65.3172,21.4794,15.05,94,100,3.13,SE,1692741304
51,turkmenbasy,40.0222,52.9552,22.43,40,0,0.0,TM,1692741305
52,bilibino,68.0546,166.4372,5.73,65,97,0.42,RU,1692741306
53,tazovsky,67.4667,78.7,8.53,94,100,3.02,RU,1692741307
54,avarua,-21.2078,-159.775,25.03,65,75,6.69,CK,1692741307
55,barra da estiva,-13.6261,-41.3269,21.56,64,71,2.75,BR,1692741308
56,razole,16.4833,81.8333,26.48,88,99,1.91,IN,1692741309
57,margaret river,-33.95,115.0667,13.26,72,98,3.8,AU,1692741310
58,kidal,18.4411,1.4078,33.25,33,63,5.26,ML,1692741312
59,port elizabeth,-33.918,25.5701,14.16,58,0,4.63,ZA,1692741312
60,dudinka,69.4058,86.1778,11.46,91,86,3.08,RU,1692741314
61,arkhangel'sk,64.5401,40.5433,4.9,95,21,1.72,RU,1692741315
62,kodiak,57.79,-152.4072,13.73,88,100,2.06,US,1692741317
63,tahe,52.3333,124.7333,12.2,96,100,1.43,CN,1692741318
64,port lincoln,-34.7333,135.8667,12.19,72,100,3.77,AU,1692741318
65,hamilton,39.1834,-84.5333,33.45,49,0,3.6,US,1692741296
66,alto araguaia,-17.3147,-53.2153,28.46,26,7,1.53,BR,1692741320
67,hawaiian paradise park,19.5933,-154.9731,27.63,84,100,5.66,US,1692741320
68,warwick,41.7001,-71.4162,26.15,49,40,5.14,US,1692741040
69,georgetown,5.4112,100.3354,26.96,95,20,2.06,MY,1692741316
70,paradip garh,20.3167,86.6167,28.07,86,100,5.47,IN,1692741322
71,zelenogorsk,56.1147,94.5861,12.73,92,12,0.96,RU,1692741322
72,okha,53.5739,142.9478,16.65,91,100,2.23,RU,1692741323
73,rundu,-17.9333,19.7667,19.84,15,77,1.82,NA,1692741323
74,peace river,56.2501,-117.286,22.17,64,40,1.54,CA,1692741324
75,touros,-5.1989,-35.4608,24.83,80,10,5.6,BR,1692741244
76,port alfred,-33.5906,26.891,16.95,47,44,4.46,ZA,1692741325
77,kokopo,-4.352,152.2633,26.6,78,83,4.75,PG,1692741326
78,puerto ayora,-0.7393,-90.3518,27.98,93,80,2.24,EC,1692741327
79,lerwick,60.1545,-1.1494,13.0,90,100,7.37,GB,1692741327
80,stanley,54.868,-1.6985,15.44,87,0,2.57,GB,1692741192
81,fortaleza,-3.7227,-38.5247,27.34,78,40,5.14,BR,1692741328
82,ilulissat,69.2167,-51.1,13.01,47,40,1.54,GL,1692741329
83,nova sintra,14.8667,-24.7167,24.95,75,76,1.49,CV,1692741330
84,isafjordur,66.0755,-23.124,10.29,78,64,2.12,IS,1692741330
85,severo-yeniseyskiy,60.3725,93.0408,10.75,89,100,1.95,RU,1692741331
86,sol'-iletsk,51.1631,54.9918,18.7,81,12,4.5,RU,1692741332
87,lihue,21.9789,-159.3672,30.77,69,75,6.17,US,1692741332
88,bourg-saint-maurice,45.6172,6.769,23.94,72,3,1.17,FR,1692741333
89,ghat,24.9647,10.1728,35.04,15,91,5.62,LY,1692741333
90,zyryanskoye,56.8306,86.6258,11.77,87,50,2.61,RU,1692741334
91,college,64.8569,-147.8028,16.71,74,100,3.09,US,1692741056
92,cabo san lucas,22.8909,-109.9124,34.23,70,69,2.56,MX,1692741145
93,i-n-salah,27.1935,2.4607,33.49,26,41,4.83,DZ,1692741336
94,whitehorse,60.7161,-135.0538,22.28,48,20,2.57,CA,1692741337
95,armacao de buzios,-22.7469,-41.8817,22.09,92,0,3.88,BR,1692741338
96,taksimo,56.3444,114.8794,12.2,73,25,1.52,RU,1692741339
97,uzgen,40.7699,73.3007,20.16,28,7,3.12,KG,1692741339
98,pemba,-12.974,40.5178,24.39,83,20,3.6,MZ,1692741340
99,mount isa,-20.7333,139.5,15.87,31,0,4.63,AU,1692741341
100,tubarjal,30.4999,38.216,34.7,17,11,3.46,SA,1692741341
101,maragogi,-9.0122,-35.2225,24.17,83,37,3.61,BR,1692741342
102,punta arenas,-53.15,-70.9167,1.68,71,83,6.57,CL,1692741149
103,quatre cocos,-20.2078,57.7625,22.83,83,62,7.12,MU,1692741343
104,verdal,63.7933,11.4817,12.02,93,35,0.34,NO,1692741344
105,bagli,22.65,76.35,22.24,93,100,3.08,IN,1692741345
106,bida,9.0833,6.0167,26.55,80,99,1.69,NG,1692741346
107,cole harbour,44.6724,-63.4751,22.71,56,30,3.58,CA,1692741347
108,guerrero negro,27.9769,-114.0611,24.19,64,7,7.26,MX,1692741348
109,talnakh,69.4865,88.3972,11.23,93,81,2.54,RU,1692741349
110,turaif,31.6725,38.6637,31.14,10,20,4.12,SA,1692741349
111,galliano,29.4422,-90.2992,35.0,51,54,6.14,US,1692741350
112,san antonio de pale,-1.4014,5.6325,23.21,89,15,5.87,GQ,1692741351
113,san patricio,28.017,-97.5169,29.94,82,100,9.34,US,1692741351
114,trairi,-3.2778,-39.2689,25.28,78,25,5.04,BR,1692741352
115,yellowknife,62.456,-114.3525,20.23,69,75,2.24,CA,1692741352
116,xixiang,35.1628,112.865,23.72,88,33,1.49,CN,1692741354
